donation_id,supporter_id,donation_type,donation_date,is_recurring,campaign_name,channel_source,currency_code,amount,estimated_value,impact_unit,notes,referral_post_id
30,4,InKind,2023-03-15,True,,SocialMedia,,,439.51,items,Monthly contribution,159
31,50,Time,2025-01-24,False,,PartnerReferral,,,32.95,hours,Community outreach support,
32,5,Skills,2024-01-18,False,,SocialMedia,,,12.59,hours,Monthly contribution,716
33,37,Monetary,2025-01-12,False,,Campaign,USD,25.51,25.51,lempiras,Recurring gift,
34,7,Monetary,2025-12-28,True,,SocialMedia,USD,16.72,16.72,lempiras,In support of safehouse operations,187
35,36,Monetary,2023-03-15,False,,Direct,USD,14.94,14.94,córdobas,In support of safehouse operations,
36,8,Monetary,2023-11-06,True,,SocialMedia,USD,137.93,137.93,dollars,Event donation,421
37,21,Monetary,2023-07-25,False,Back to School,Campaign,USD,198.75,198.75,dollars,Campaign support,
38,16,Monetary,2025-07-15,False,Back to School,Event,USD,10.13,10.13,lempiras,Campaign support,
39,25,InKind,2025-04-28,True,,Direct,,,437.14,items,Monthly contribution,
40,32,SocialMedia,2023-02-02,False,,PartnerReferral,,,2.6,campaigns,Monthly contribution,
41,23,Time,2025-03-26,False,,Event,,,31.14,hours,Campaign support,
42,6,SocialMedia,2023-03-22,False,,Direct,,,11.87,campaigns,Monthly contribution,
43,16,InKind,2025-11-03,False,Year-End Hope,Campaign,,,300.0,items,Monthly contribution,
44,33,InKind,2023-09-13,False,,Direct,,,313.53,items,Recurring gift,
45,19,Time,2025-11-12,False,GivingTuesday,Campaign,,,8.16,hours,Recurring gift,
46,5,Monetary,2023-12-20,False,Year-End Hope,Campaign,USD,36.02,36.02,lempiras,Recurring gift,
47,24,Monetary,2024-10-25,True,,Event,USD,15.49,15.49,quetzales,Event donation,
48,25,InKind,2023-11-10,True,Year-End Hope,PartnerReferral,,,300.0,items,Recurring gift,
49,25,Monetary,2025-11-23,True,GivingTuesday,Event,USD,128.03,128.03,dollars,Recurring gift,
50,43,Monetary,2023-08-12,False,,Direct,USD,7.77,7.77,lempiras,Recurring gift,
51,10,InKind,2024-10-18,False,,PartnerReferral,,,336.58,items,Monthly contribution,
52,12,Time,2023-02-24,False,,Event,,,19.07,hours,Recurring gift,
53,55,Time,2023-11-03,False,Year-End Hope,PartnerReferral,,,5.23,hours,Recurring gift,
54,15,Monetary,2024-09-15,False,,PartnerReferral,USD,12.22,12.22,córdobas,Recurring gift,
55,54,SocialMedia,2023-03-13,True,,Direct,,,2.66,campaigns,Recurring gift,
56,35,Monetary,2024-03-27,False,,Event,USD,255.75,255.75,dollars,Recurring gift,
57,4,Monetary,2023-12-27,True,,Direct,USD,220.77,220.77,dollars,Recurring gift,
58,16,Monetary,2024-10-18,False,,Campaign,USD,20.76,20.76,quetzales,Community outreach support,
59,17,Time,2024-12-29,False,Year-End Hope,Direct,,,12.58,hours,Recurring gift,
60,50,InKind,2024-10-22,False,,Direct,,,658.36,items,Monthly contribution,
61,32,InKind,2025-10-24,False,,Event,,,1369.84,items,Recurring gift,
62,1,Monetary,2024-01-08,True,,Direct,USD,250.58,250.58,dollars,Monthly contribution,
63,51,Monetary,2026-02-27,False,,Campaign,USD,164.69,164.69,dollars,Recurring gift,
64,44,Monetary,2025-10-05,True,,Direct,USD,160.71,160.71,dollars,Campaign support,
65,52,InKind,2024-05-16,True,Summer of Safety,SocialMedia,,,630.81,items,Community outreach support,191
66,4,Monetary,2024-10-11,True,,Event,USD,29.61,29.61,colones,Event donation,
67,9,Time,2024-08-31,False,,Campaign,,,20.42,hours,Campaign support,
68,56,InKind,2024-03-04,False,,PartnerReferral,,,300.0,items,In support of safehouse operations,
69,38,Monetary,2025-10-28,True,,Direct,USD,7.17,7.17,córdobas,Campaign support,
70,39,Monetary,2023-09-12,False,,PartnerReferral,USD,80.09,80.09,dollars,Campaign support,
71,3,SocialMedia,2023-06-25,True,,Campaign,,,9.07,campaigns,Event donation,
72,52,InKind,2023-01-17,True,,Campaign,,,506.18,items,Community outreach support,
73,9,Monetary,2025-12-08,False,,SocialMedia,USD,35.87,35.87,colones,In support of safehouse operations,39
74,3,InKind,2023-04-09,True,,Event,,,300.0,items,Monthly contribution,
75,55,Skills,2023-05-10,False,,SocialMedia,,,10.09,hours,Community outreach support,244
76,54,Time,2023-12-07,True,,PartnerReferral,,,19.14,hours,Recurring gift,
77,13,Monetary,2025-02-03,False,,Campaign,USD,71.27,71.27,dollars,Campaign support,
78,36,Time,2023-06-19,False,Back to School,Campaign,,,21.67,hours,Campaign support,
79,43,Time,2024-01-17,False,,SocialMedia,,,4.65,hours,In support of safehouse operations,716
80,32,Monetary,2025-07-18,False,Back to School,PartnerReferral,USD,36.09,36.09,quetzales,Community outreach support,
81,39,Monetary,2024-09-19,False,,SocialMedia,USD,5.34,5.34,quetzales,Event donation,209
82,31,Monetary,2025-05-11,True,Summer of Safety,SocialMedia,USD,45.0,45.0,dollars,Monthly contribution,221
83,8,Monetary,2024-01-17,True,,Direct,USD,8.72,8.72,lempiras,Monthly contribution,
84,3,Monetary,2025-09-13,True,,Campaign,USD,9.62,9.62,colones,Recurring gift,
85,37,Monetary,2023-06-02,False,Back to School,Campaign,USD,90.52,90.52,dollars,Event donation,
86,6,Monetary,2024-08-07,False,,Campaign,USD,39.04,39.04,quetzales,Community outreach support,
87,13,Monetary,2024-06-07,False,,Campaign,USD,7.66,7.66,quetzales,In support of safehouse operations,
88,11,InKind,2024-08-20,False,,SocialMedia,,,577.02,items,Campaign support,12
89,21,Monetary,2025-04-07,False,,SocialMedia,USD,26.65,26.65,colones,In support of safehouse operations,648
90,8,Monetary,2024-10-12,True,,Campaign,USD,8.51,8.51,córdobas,Event donation,
91,32,Monetary,2024-04-26,False,Summer of Safety,Event,USD,83.63,83.63,dollars,Campaign support,
92,31,Monetary,2025-10-16,True,,Direct,USD,51.38,51.38,dollars,Event donation,
93,48,Monetary,2024-05-04,True,Summer of Safety,Event,USD,138.17,138.17,dollars,Recurring gift,
94,7,Monetary,2025-03-06,True,,Event,USD,7.48,7.48,córdobas,Monthly contribution,
95,6,Monetary,2025-08-12,False,,PartnerReferral,USD,58.17,58.17,colones,Campaign support,
96,55,Monetary,2025-03-03,False,,Campaign,USD,44.49,44.49,colones,Event donation,
97,11,InKind,2023-03-18,False,,SocialMedia,,,386.1,items,Monthly contribution,159
98,37,SocialMedia,2023-02-02,False,,Campaign,,,5.92,campaigns,Monthly contribution,
99,54,Monetary,2023-07-08,True,,Direct,USD,21.09,21.09,quetzales,Community outreach support,
100,51,Monetary,2023-05-11,False,Summer of Safety,PartnerReferral,USD,18.74,18.74,córdobas,Event donation,
101,60,Monetary,2023-08-14,True,,Event,USD,4.56,4.56,colones,In support of safehouse operations,
102,44,Monetary,2024-07-21,True,,Campaign,USD,10.47,10.47,lempiras,Recurring gift,
103,10,InKind,2025-11-09,False,Year-End Hope,SocialMedia,,,447.5,items,In support of safehouse operations,740
104,54,InKind,2025-11-23,True,Year-End Hope,SocialMedia,,,490.48,items,Monthly contribution,200
105,46,Monetary,2025-04-22,False,Summer of Safety,Campaign,USD,141.76,141.76,dollars,Community outreach support,
106,3,Monetary,2025-03-15,True,,Campaign,USD,27.72,27.72,quetzales,Community outreach support,
107,37,Time,2024-11-21,False,GivingTuesday,Campaign,,,30.16,hours,Community outreach support,
108,34,InKind,2025-05-07,True,Summer of Safety,Direct,,,732.46,items,Event donation,
109,18,Monetary,2024-10-09,False,,SocialMedia,USD,59.36,59.36,dollars,Community outreach support,48
110,20,Monetary,2023-03-23,True,,Event,USD,24.42,24.42,córdobas,In support of safehouse operations,
111,7,Time,2023-11-02,True,,Event,,,18.82,hours,Recurring gift,
112,50,Monetary,2024-04-13,False,Summer of Safety,SocialMedia,USD,18.06,18.06,quetzales,Monthly contribution,493
113,8,SocialMedia,2023-12-03,True,,PartnerReferral,,,6.03,campaigns,Campaign support,
114,8,InKind,2023-12-28,True,Year-End Hope,Campaign,,,486.04,items,Monthly contribution,
115,20,InKind,2023-06-03,True,Back to School,Campaign,,,1788.92,items,In support of safehouse operations,
116,20,Monetary,2024-11-10,True,,Event,USD,11.35,11.35,colones,Community outreach support,
117,34,Time,2024-10-26,True,,PartnerReferral,,,22.09,hours,Recurring gift,
118,20,SocialMedia,2023-12-08,True,Year-End Hope,Campaign,,,11.45,campaigns,Campaign support,
119,25,Monetary,2025-07-17,True,Back to School,Campaign,USD,27.54,27.54,colones,In support of safehouse operations,
120,2,Time,2023-09-25,False,,Campaign,,,24.34,hours,Monthly contribution,
121,25,Monetary,2025-07-04,True,,SocialMedia,USD,224.02,224.02,dollars,Event donation,223
122,38,Monetary,2023-12-10,True,Year-End Hope,Event,USD,185.77,185.77,dollars,Event donation,
123,38,Monetary,2023-05-21,True,Summer of Safety,SocialMedia,USD,316.34,316.34,dollars,In support of safehouse operations,568
124,46,Monetary,2024-02-15,False,,Direct,USD,86.43,86.43,dollars,Monthly contribution,
125,29,Time,2023-03-04,False,,Direct,,,9.94,hours,Monthly contribution,
126,19,InKind,2024-11-28,False,GivingTuesday,Campaign,,,658.57,items,Event donation,
127,3,Monetary,2023-08-22,True,,SocialMedia,USD,82.9,82.9,dollars,In support of safehouse operations,727
128,53,Skills,2024-11-09,False,,Direct,,,7.43,hours,In support of safehouse operations,
129,54,Monetary,2023-11-11,True,Year-End Hope,Campaign,USD,7.50,7.50,lempiras,Campaign support,
130,45,Monetary,2025-03-04,True,,Campaign,USD,174.9,174.9,dollars,Campaign support,
131,60,Monetary,2024-07-09,True,Back to School,Direct,USD,21.62,21.62,córdobas,In support of safehouse operations,
132,24,Time,2025-10-14,True,,Event,,,18.77,hours,Community outreach support,
133,5,Monetary,2025-10-02,False,,Campaign,USD,9.12,9.12,quetzales,Monthly contribution,
134,36,InKind,2024-05-22,False,,PartnerReferral,,,416.51,items,In support of safehouse operations,
135,58,InKind,2023-01-09,False,,Direct,,,616.42,items,Event donation,
136,25,Monetary,2024-09-15,True,,Direct,USD,125.12,125.12,dollars,Campaign support,
137,32,SocialMedia,2026-01-18,False,,Event,,,5.23,campaigns,Community outreach support,
138,45,InKind,2024-11-26,True,Year-End Hope,Event,,,300.0,items,In support of safehouse operations,
139,45,Monetary,2025-04-30,True,Summer of Safety,SocialMedia,USD,237.85,237.85,dollars,Recurring gift,790
140,8,InKind,2024-11-24,True,Year-End Hope,Direct,,,304.75,items,Campaign support,
141,31,Monetary,2024-02-08,True,,Campaign,USD,5.81,5.81,colones,Campaign support,
142,26,Monetary,2025-01-12,True,,Campaign,USD,192.83,192.83,dollars,Campaign support,
143,1,InKind,2025-10-29,True,,SocialMedia,,,503.75,items,Event donation,
144,39,Monetary,2025-06-15,False,,Event,USD,65.67,65.67,dollars,In support of safehouse operations,
145,1,Monetary,2023-03-25,True,,SocialMedia,USD,13.99,13.99,quetzales,In support of safehouse operations,70
146,3,InKind,2024-02-06,True,,Campaign,,,476.64,items,Event donation,
147,8,Skills,2025-08-05,True,,Campaign,,,11.51,hours,Recurring gift,
148,1,Time,2023-07-23,True,,SocialMedia,,,19.2,hours,Community outreach support,457
149,21,InKind,2023-10-20,False,,SocialMedia,,,300.0,items,Monthly contribution,666
150,3,Monetary,2024-10-03,True,,Event,USD,307.38,307.38,dollars,In support of safehouse operations,
151,54,Monetary,2025-07-18,True,,SocialMedia,USD,78.65,78.65,dollars,Monthly contribution,378
152,34,Monetary,2024-09-02,True,,Campaign,USD,4.56,4.56,colones,Community outreach support,
153,24,Time,2023-07-02,True,,Event,,,4.89,hours,Recurring gift,
154,16,InKind,2024-10-14,False,,SocialMedia,,,300.0,items,Recurring gift,211
155,7,InKind,2025-09-23,True,,SocialMedia,,,716.99,items,In support of safehouse operations,793
156,38,Monetary,2024-12-06,True,Year-End Hope,SocialMedia,USD,184.33,184.33,dollars,Community outreach support,358
157,13,Time,2024-12-06,False,,SocialMedia,,,5.85,hours,Event donation,358
158,1,InKind,2023-06-24,True,Back to School,Direct,,,606.91,items,Recurring gift,
159,45,Monetary,2023-08-27,True,,PartnerReferral,USD,58.51,58.51,dollars,Event donation,
160,9,Monetary,2024-11-08,False,GivingTuesday,SocialMedia,USD,16.34,16.34,córdobas,Campaign support,424
161,1,Monetary,2024-10-17,True,,SocialMedia,USD,187.62,187.62,dollars,Monthly contribution,682
162,19,Time,2023-10-29,False,,Direct,,,30.72,hours,Recurring gift,
163,24,Monetary,2025-01-07,True,,Campaign,USD,12.84,12.84,córdobas,Event donation,
164,20,Monetary,2024-08-04,True,,SocialMedia,USD,174.93,174.93,dollars,Recurring gift,667
165,32,Monetary,2023-01-22,False,,Event,USD,61.0,61.0,dollars,Community outreach support,
166,30,Monetary,2025-07-29,False,,SocialMedia,USD,58.52,58.52,colones,Recurring gift,588
167,31,Monetary,2025-08-10,True,,PartnerReferral,USD,7.57,7.57,lempiras,Recurring gift,
168,8,Skills,2024-12-17,True,Year-End Hope,Event,,,17.89,hours,Event donation,
169,26,Monetary,2026-02-24,True,,Event,USD,6.36,6.36,lempiras,Campaign support,
170,21,Time,2025-12-30,False,Year-End Hope,Event,,,13.68,hours,Community outreach support,
171,7,Monetary,2023-05-30,True,Summer of Safety,Campaign,USD,8.50,8.50,córdobas,Event donation,
172,6,InKind,2024-12-20,False,Year-End Hope,Campaign,,,801.17,items,In support of safehouse operations,
173,35,Monetary,2023-10-31,False,,Direct,USD,282.52,282.52,dollars,Campaign support,
174,44,Monetary,2025-11-22,True,Year-End Hope,Event,USD,28.29,28.29,córdobas,Monthly contribution,
175,59,Skills,2025-03-05,False,,Event,,,12.57,hours,In support of safehouse operations,
176,47,Time,2025-04-04,False,Summer of Safety,PartnerReferral,,,9.18,hours,Community outreach support,
177,45,Monetary,2023-11-26,True,GivingTuesday,Event,USD,311.84,311.84,dollars,Event donation,
178,11,Monetary,2025-12-16,False,,SocialMedia,USD,407.11,407.11,dollars,Monthly contribution,228
179,31,Monetary,2023-04-24,True,Summer of Safety,Campaign,USD,18.20,18.20,lempiras,Recurring gift,
180,20,Monetary,2024-08-17,True,,Event,USD,21.47,21.47,colones,Monthly contribution,
181,44,InKind,2023-12-03,True,Year-End Hope,Event,,,403.77,items,Campaign support,
182,15,Monetary,2024-06-16,False,Back to School,Campaign,USD,4.56,4.56,colones,Community outreach support,
183,55,Monetary,2024-03-13,False,,Campaign,USD,114.95,114.95,dollars,Campaign support,
184,12,Monetary,2025-08-15,False,,Direct,USD,11.16,11.16,córdobas,Recurring gift,
185,55,Monetary,2024-12-01,False,Year-End Hope,PartnerReferral,USD,118.19,118.19,colones,Monthly contribution,
186,7,SocialMedia,2025-04-20,True,Summer of Safety,SocialMedia,,,7.08,campaigns,Event donation,656
187,31,InKind,2025-10-19,True,,Campaign,,,307.52,items,Monthly contribution,
188,24,Monetary,2025-01-01,True,,PartnerReferral,USD,19.18,19.18,quetzales,Monthly contribution,
189,43,Monetary,2025-10-23,False,,Campaign,USD,220.18,220.18,dollars,In support of safehouse operations,
190,6,Monetary,2023-07-19,False,,Direct,USD,186.99,186.99,dollars,Recurring gift,
191,38,InKind,2023-03-10,True,,Direct,,,453.66,items,Monthly contribution,
192,25,Monetary,2023-10-14,True,,PartnerReferral,USD,9.36,9.36,lempiras,Monthly contribution,
193,54,Time,2024-05-31,True,,Event,,,4.52,hours,Monthly contribution,
194,31,InKind,2025-02-28,True,,SocialMedia,,,529.53,items,Event donation,14
195,25,InKind,2026-02-14,True,,Event,,,412.91,items,Campaign support,
196,26,Monetary,2024-10-06,True,,Campaign,USD,13.30,13.30,córdobas,Recurring gift,
197,23,SocialMedia,2023-12-15,False,Year-End Hope,SocialMedia,,,4.75,campaigns,In support of safehouse operations,359
198,17,Monetary,2025-01-21,False,,Direct,USD,14.83,14.83,colones,Event donation,
199,21,Time,2023-08-26,False,,Campaign,,,26.27,hours,Monthly contribution,
200,10,Skills,2023-08-22,False,,Event,,,20.62,hours,Recurring gift,
201,36,Monetary,2023-01-15,False,,Campaign,USD,12.61,12.61,colones,Community outreach support,
202,44,Monetary,2025-12-17,True,Year-End Hope,Direct,USD,207.98,207.98,dollars,In support of safehouse operations,
203,35,Monetary,2025-02-11,False,,Direct,USD,45.0,45.0,dollars,Campaign support,
204,12,InKind,2025-10-13,False,,Campaign,,,735.61,items,In support of safehouse operations,
205,19,Monetary,2024-01-07,False,,Direct,USD,24.18,24.18,córdobas,Community outreach support,
206,5,Monetary,2024-12-28,False,Year-End Hope,PartnerReferral,USD,14.68,14.68,córdobas,In support of safehouse operations,
207,20,Skills,2023-05-04,True,Summer of Safety,Campaign,,,17.39,hours,Event donation,
208,44,Monetary,2023-11-23,True,GivingTuesday,PartnerReferral,USD,20.98,20.98,córdobas,Event donation,
209,40,Skills,2025-07-22,False,Back to School,Direct,,,12.44,hours,Recurring gift,
210,59,InKind,2024-01-26,False,,Campaign,,,359.85,items,Campaign support,
211,19,Skills,2023-04-23,False,Summer of Safety,PartnerReferral,,,4.15,hours,Community outreach support,
212,13,Monetary,2023-11-03,False,GivingTuesday,Campaign,USD,251.24,251.24,dollars,Recurring gift,
213,22,InKind,2025-01-08,False,,Campaign,,,413.32,items,Monthly contribution,
214,54,Skills,2025-01-04,True,,Campaign,,,5.98,hours,Campaign support,
215,43,InKind,2023-08-20,False,,Event,,,667.96,items,Campaign support,
216,33,Monetary,2025-04-01,False,,Direct,USD,11.28,11.28,lempiras,Recurring gift,
217,20,Monetary,2024-11-11,True,Year-End Hope,Event,USD,21.51,21.51,colones,In support of safehouse operations,
218,1,Monetary,2024-12-11,True,Year-End Hope,Event,USD,6.82,6.82,córdobas,Community outreach support,
219,6,Monetary,2025-02-15,False,,Event,USD,73.7,73.7,dollars,Community outreach support,
220,12,Monetary,2025-08-24,False,,SocialMedia,USD,14.89,14.89,lempiras,Recurring gift,140
221,56,InKind,2023-03-29,False,,Event,,,300.0,items,In support of safehouse operations,
222,47,InKind,2024-06-30,False,Back to School,SocialMedia,,,482.86,items,Campaign support,139
223,20,InKind,2023-08-11,True,,Direct,,,800.07,items,Recurring gift,
224,56,Monetary,2025-11-12,False,Year-End Hope,Direct,USD,106.9,106.9,dollars,Recurring gift,
225,42,Monetary,2024-10-24,False,,Campaign,USD,11.74,11.74,quetzales,Monthly contribution,
226,19,InKind,2025-03-10,False,,Campaign,,,302.29,items,Monthly contribution,
227,3,Monetary,2024-11-18,True,,PartnerReferral,USD,189.69,189.69,dollars,Community outreach support,
228,54,Monetary,2023-04-17,True,Summer of Safety,Event,USD,13.15,13.15,colones,Campaign support,
229,11,Monetary,2025-08-21,False,,PartnerReferral,USD,210.74,210.74,dollars,Community outreach support,
230,18,Monetary,2026-01-20,False,,Campaign,USD,386.77,386.77,dollars,Event donation,
231,10,Monetary,2024-12-28,False,,Event,USD,38.36,38.36,colones,In support of safehouse operations,
232,20,Monetary,2025-05-11,True,Summer of Safety,SocialMedia,USD,352.65,352.65,dollars,Recurring gift,221
233,31,Time,2024-08-28,True,,Direct,,,5.8,hours,Recurring gift,
234,25,Monetary,2023-10-07,True,,Direct,USD,38.02,38.02,quetzales,Recurring gift,
235,54,Monetary,2023-08-01,True,,Campaign,USD,27.58,27.58,lempiras,Event donation,
236,56,InKind,2026-01-05,False,,Direct,,,388.04,items,Campaign support,
237,4,Monetary,2025-11-24,True,Year-End Hope,Event,USD,480.1,480.1,dollars,Community outreach support,
238,47,Monetary,2025-08-19,False,,Campaign,USD,758.44,758.44,dollars,In support of safehouse operations,
239,4,Monetary,2025-11-23,True,Year-End Hope,Direct,USD,4.45,4.45,lempiras,Monthly contribution,
240,35,Monetary,2024-11-11,False,Year-End Hope,Event,USD,29.40,29.40,lempiras,Event donation,
241,35,InKind,2025-12-21,False,,Campaign,,,300.0,items,Campaign support,
242,54,Monetary,2024-09-10,True,,Direct,USD,7.47,7.47,lempiras,Recurring gift,
243,8,Monetary,2025-09-10,True,,SocialMedia,USD,8.84,8.84,quetzales,Community outreach support,508
244,54,InKind,2023-08-05,True,,SocialMedia,,,935.56,items,Campaign support,582
245,40,Monetary,2025-02-06,False,,Event,USD,29.51,29.51,quetzales,Event donation,
246,27,Monetary,2024-08-03,False,,Campaign,USD,43.60,43.60,lempiras,Monthly contribution,
247,17,InKind,2023-05-23,False,Summer of Safety,Direct,,,567.97,items,Event donation,
248,3,InKind,2025-05-26,True,Summer of Safety,Event,,,756.8,items,Event donation,
249,9,InKind,2025-07-18,False,,Campaign,,,808.8,items,Event donation,
250,1,Monetary,2026-02-19,True,,Campaign,USD,12.47,12.47,córdobas,Community outreach support,
251,35,Monetary,2023-12-20,False,,Event,USD,37.00,37.00,colones,Recurring gift,
252,27,SocialMedia,2025-08-11,False,,SocialMedia,,,7.39,campaigns,In support of safehouse operations,494
253,21,Time,2023-06-13,False,,Event,,,29.54,hours,Community outreach support,
254,26,Monetary,2023-12-06,True,Year-End Hope,Campaign,USD,15.14,15.14,quetzales,Event donation,
255,31,Monetary,2024-09-03,True,,SocialMedia,USD,23.43,23.43,córdobas,In support of safehouse operations,587
256,30,Monetary,2024-11-13,False,Year-End Hope,Campaign,USD,27.21,27.21,córdobas,Campaign support,
257,3,InKind,2025-03-31,True,,Campaign,,,671.26,items,Campaign support,
258,35,Monetary,2025-08-28,False,,Direct,USD,112.85,112.85,dollars,Community outreach support,
259,4,InKind,2024-09-10,True,,Campaign,,,380.15,items,In support of safehouse operations,
260,4,Monetary,2024-04-11,True,Summer of Safety,Campaign,USD,18.55,18.55,colones,Campaign support,
261,27,Skills,2023-01-16,False,,Campaign,,,5.45,hours,In support of safehouse operations,
262,12,Monetary,2023-04-26,False,,Direct,USD,12.18,12.18,lempiras,Event donation,
263,57,InKind,2025-12-06,False,Year-End Hope,Campaign,,,537.37,items,Recurring gift,
264,34,InKind,2024-02-28,True,,PartnerReferral,,,300.0,items,Community outreach support,
265,32,InKind,2025-08-10,False,,Event,,,344.86,items,Monthly contribution,
266,60,Monetary,2023-07-27,True,Back to School,PartnerReferral,USD,67.34,67.34,dollars,Event donation,
267,20,Monetary,2023-02-22,True,,Campaign,USD,124.93,124.93,dollars,Campaign support,
268,29,InKind,2023-11-06,False,Year-End Hope,Event,,,300.0,items,Event donation,
269,33,Monetary,2024-11-15,False,Year-End Hope,SocialMedia,USD,5.68,5.68,córdobas,Monthly contribution,652
270,31,InKind,2023-04-14,True,,Event,,,603.87,items,Community outreach support,
271,12,Monetary,2023-07-16,False,Back to School,Campaign,USD,24.86,24.86,córdobas,Community outreach support,
272,36,Monetary,2024-06-15,False,Back to School,Direct,USD,7.72,7.72,córdobas,Recurring gift,
273,54,InKind,2024-05-30,True,Summer of Safety,Campaign,,,547.24,items,Campaign support,
274,29,Monetary,2023-09-03,False,,Event,USD,17.82,17.82,lempiras,In support of safehouse operations,
275,25,InKind,2025-03-13,True,,Campaign,,,463.82,items,Recurring gift,
276,9,Monetary,2026-02-03,False,,Direct,USD,12.60,12.60,lempiras,Recurring gift,
277,51,Monetary,2023-10-03,False,,Campaign,USD,61.85,61.85,dollars,Campaign support,
278,25,Monetary,2024-04-24,True,,Direct,USD,118.01,118.01,dollars,Event donation,
279,6,Monetary,2024-12-05,False,Year-End Hope,Campaign,USD,7.50,7.50,quetzales,Recurring gift,
280,48,Monetary,2025-11-20,True,Year-End Hope,Direct,USD,10.53,10.53,quetzales,Campaign support,
281,42,Time,2025-11-03,False,GivingTuesday,Direct,,,2.62,hours,Event donation,
282,54,Time,2024-04-28,True,,Direct,,,7.53,hours,Campaign support,
283,54,Monetary,2023-07-02,True,Back to School,SocialMedia,USD,5.98,5.98,córdobas,Campaign support,13
284,31,Skills,2026-02-11,True,,Direct,,,19.4,hours,Monthly contribution,
285,29,InKind,2025-07-17,False,Back to School,SocialMedia,,,564.36,items,Monthly contribution,448
286,9,Monetary,2023-12-29,False,Year-End Hope,Direct,USD,44.47,44.47,lempiras,In support of safehouse operations,
287,12,InKind,2024-02-15,False,,SocialMedia,,,736.22,items,Campaign support,383
288,31,Monetary,2025-08-31,True,,Event,USD,10.23,10.23,lempiras,Community outreach support,
289,34,Skills,2024-04-16,True,Summer of Safety,Campaign,,,8.27,hours,Monthly contribution,
290,9,SocialMedia,2023-03-18,False,,SocialMedia,,,11.61,campaigns,Community outreach support,159
291,20,Monetary,2025-04-08,True,Summer of Safety,PartnerReferral,USD,69.48,69.48,dollars,Community outreach support,
292,35,InKind,2023-06-12,False,Back to School,Direct,,,315.92,items,Event donation,
293,2,InKind,2025-05-08,False,,SocialMedia,,,372.94,items,Recurring gift,221
294,51,Time,2025-12-14,False,Year-End Hope,Campaign,,,20.96,hours,Event donation,
295,1,Monetary,2023-07-01,True,,Event,USD,12.11,12.11,colones,Community outreach support,
296,33,Monetary,2024-07-10,False,Back to School,SocialMedia,USD,10.37,10.37,córdobas,In support of safehouse operations,561
297,51,Monetary,2026-02-02,False,,SocialMedia,USD,5.78,5.78,quetzales,Campaign support,528
